lon,lat,name,fix,mov,obs_ve,obs_vn,obs_ee,obs_en,pred_ve,pred_vn,cen,resid_e,resid_n
-114.6619018542,-75.8018675833,TOMO,igs08,ant,10.057,-2.549,0.567,0.569,16.915,2.79,0.0,-6.858,-5.339
-67.5547088053,-69.9888239666,TRVE,igs08,ant,12.976,9.011,0.271,0.261,13.032,10.772,0.0,-0.056,-1.761
-2.8417827914,-71.6737956866,VESL,igs08,ant,-0.286,10.341,0.126,0.144,-0.141,10.225,0.0,-0.145,0.116
169.725075752,-72.4501385869,VL01,igs08,ant,11.951,-11.125,0.194,0.205,11.778,-11.062,0.0,0.173,-0.063
167.3781434065,-72.5648760656,VL02,igs08,ant,11.68,-11.774,0.363,0.517,11.304,-11.287,0.0,0.376,-0.487
162.9264091133,-72.9505133353,VL03,igs08,ant,10.733,-12.388,0.387,0.294,10.327,-11.661,0.0,0.406,-0.727
169.7486558215,-73.518211418,VL04,igs08,ant,11.673,-11.447,0.623,0.446,11.439,-11.06,0.0,0.234,-0.387
169.6121914718,-73.0630707526,VL05,igs08,ant,11.739,-11.11,0.26,0.295,11.561,-11.073,0.0,0.178,-0.037
164.6906494624,-74.3500019515,VL06,igs08,ant,10.663,-11.75,0.569,0.575,10.209,-11.521,0.0,0.454,-0.229
165.3793039808,-73.7599003668,VL07,igs08,ant,10.47,-11.653,0.56,0.221,10.536,-11.463,0.0,-0.066,-0.19
163.739537217,-73.7642850765,VL08,igs08,ant,10.511,-11.554,0.511,0.665,10.218,-11.597,0.0,0.293,0.043
162.169396596,-73.3307841667,VL09,igs08,ant,10.129,-12.262,0.878,0.789,10.054,-11.717,0.0,0.075,-0.545
162.7685933982,-73.6884554718,VL10,igs08,ant,10.366,-11.53,0.646,0.968,10.054,-11.673,0.0,0.312,0.143
162.5416685745,-74.3714285022,VL11,igs08,ant,10.011,-11.388,0.433,0.881,9.783,-11.69,0.0,0.228,0.302
163.7270027799,-72.2744417945,VL12,igs08,ant,10.711,-11.803,0.228,0.332,10.703,-11.598,0.0,0.008,-0.205
162.204971324,-74.847798056,VL13,igs08,ant,9.635,-11.467,0.587,0.65,9.558,-11.715,0.0,0.077,0.248
165.9056986827,-73.2282470099,VL14,igs08,ant,11.415,-11.85,0.714,0.496,10.811,-11.418,0.0,0.604,-0.432
163.7156696216,-74.9342645413,VL15,igs08,ant,10.063,-11.808,0.547,0.525,9.825,-11.599,0.0,0.238,-0.209
162.5454877396,-75.2325614103,VL16,igs08,ant,9.545,-12.334,0.388,0.378,9.496,-11.689,0.0,0.049,-0.645
161.5387437161,-75.0951346136,VL17,igs08,ant,9.333,-11.855,0.183,0.247,9.343,-11.763,0.0,-0.01,-0.092
162.593715378,-75.8985337265,VL18,igs08,ant,9.26,-11.615,0.276,0.267,9.282,-11.686,0.0,-0.022,0.071
161.781614892,-75.8049735219,VL19,igs08,ant,9.048,-11.904,0.371,0.454,9.152,-11.746,0.0,-0.104,-0.158
160.4547921184,-71.543159517,VL20,igs08,ant,9.354,-12.533,1.385,0.947,10.305,-11.838,0.0,-0.951,-0.695
163.7329373253,-71.6686563161,VL21,igs08,ant,11.144,-11.824,0.674,0.66,10.9,-11.598,0.0,0.244,-0.226
162.0404383201,-71.4218722577,VL22,igs08,ant,11.033,-11.856,0.546,0.486,10.653,-11.727,0.0,0.38,-0.129
170.3046738393,-71.3458187788,VL23,igs08,ant,12.754,-10.796,0.378,0.426,12.234,-11.003,0.0,0.52,0.207
163.896285944,-71.154078004,VL29,igs08,ant,11.702,-11.529,0.532,0.244,11.097,-11.585,0.0,0.605,0.056
162.5251467694,-70.5987227002,VL30,igs08,ant,11.557,-11.548,0.285,0.3,11.012,-11.691,0.0,0.545,0.143
